Current__abs_energy,Audio__mean_abs_change,Audio__cid_ce__normalize_False,Audio__number_crossing_m__m_1,"Audio__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",Current__sum_of_reoccurring_data_points,Current__sum_values,Audio__spkt_welch_density__coeff_5,Audio__range_count__max_1__min_-1,Audio__spkt_welch_density__coeff_8
11279302.618136093,0.02918390990427788,31.11682400281375,2540.0,1.4467278857848282,1450523.516605,1450766.8358080003,5.254546898240059,13113.0,0.32546100718362264
13507893.408833535,0.04376582410225879,38.274050673048734,4524.0,1.3041397983278966,1684407.947219,1684444.0057730004,6.619180159520673,22987.0,0.46208831276802864
2959412.0590711604,0.02389590805443069,21.233989614696846,1120.0,1.4386371140769583,595054.078497,595190.2911580001,1.9268333850561135,5301.0,0.11731303312538588
8427372.520556584,0.030906280389057798,33.19859293859663,3318.0,1.3634839056199766,1352006.991924,1352086.1636739997,2.4538325427673975,17917.0,0.29897823747512525
9609499.716196641,0.02966035135319308,35.932864098468905,3286.0,1.4272422226517298,1672126.031033,1672205.6305370007,6.556709021758478,15111.0,0.40468001325274244
12478808.223252136,0.039502943127449563,40.45906483833327,5562.0,1.344059564697242,2038173.819595,2038446.2393420006,3.5236958250184314,32700.0,0.3305631393801134
11350671.429730691,0.03621791777141358,41.23392504259394,6402.0,1.4530920938156693,2207109.8567950004,2207406.689572,2.9285236103307337,40815.0,0.18207754198630058
8104270.418378719,0.02953817036805673,29.95881915879151,2986.0,1.3585032729510556,1277929.709151,1278058.7323790002,3.49773629132629,16828.0,0.32667102819318505
4133438.3775455495,0.022650622087432692,20.91515256008414,776.0,1.433151965754352,737187.6535690001,737280.5099099999,4.0848247421060595,3462.0,0.12947715289463438
11910031.486446198,0.04441120905115348,39.63003085401519,4802.0,1.2229112133967142,1575089.056383,1575089.0680809994,6.955571400658767,25939.0,0.5293716384596657
3404561.713052461,0.025429594030208415,23.132500943180418,1178.0,1.3981808368953765,716910.279035,717049.3247439999,6.377377786467329,5042.0,0.12934903173494006
13610643.963202704,0.04329655547986831,45.66310077041512,6892.0,1.3151040080262684,2313476.4688779996,2313543.520577001,3.855814563150204,38819.0,0.3333277731581687
8210148.51268799,0.03194132673795606,34.819940516784435,4346.0,1.3161979496368483,1374977.613352,1375129.5496870002,4.132735988425934,25827.0,0.2739623792195336
5681662.403444352,0.02267118992726727,18.417314162375092,796.0,1.416722361154829,811007.8527259999,811148.44822,1.4698653393008037,3619.0,0.4916200609464468
9412570.944202548,0.03305435848026391,24.516586633081232,1752.0,1.398795344109527,968207.035739,968244.91365,3.5814390648350867,8508.0,0.6357727223623901
12934931.567763,0.03989209075620374,40.0269573974023,4852.0,1.3776447483818328,2039441.4721549999,2039819.2492520006,4.086184959000679,25034.0,0.47505557751783806
14863733.09010392,0.0441900755454954,37.539395373852145,3994.0,1.2982415412084867,1595082.4615449999,1595120.351154,6.325496812191053,22230.0,0.9983175834545641
13318740.326507332,0.039675675201150236,33.43313546780258,3374.0,1.3138119642124724,1555832.198499,1555832.2101969996,4.565266205819939,16989.0,0.5091198699259772
9705718.219747268,0.04054305556042099,41.118457877186714,4644.0,1.3319438307559897,1145276.789404,1145412.7121580003,2.03082661149996,50723.0,1.1424341489954803
9076065.873635447,0.03438025088532997,26.69437228008648,2302.0,1.3518566403373888,1081287.676753,1081324.8222420001,2.826964992669472,12777.0,0.3018895372151906
10889620.157958485,0.03991905388183911,31.86329593043782,2978.0,1.3971248360945563,1174037.80451,1174075.6941190003,4.620734659493774,18628.0,0.8032848016140373
10897190.383983696,0.03395683443492368,30.069077834536444,2420.0,1.4568046552544722,1195291.167568,1195395.2065729997,4.218022074563282,12945.0,0.7198137002479693
10609391.494306142,0.03296122361985499,30.34297394216808,2360.0,1.4940636733883026,1196246.5076199998,1196419.136411,3.9324823235343684,13520.0,0.5919170994891636
6767970.725533923,0.02515189611858937,19.645432977929513,1018.0,1.564034096675063,727494.865011,727669.6793680002,3.3261246865104748,4929.0,0.2894007768808708
9026767.756961819,0.03375941792688941,25.843950467714105,1950.0,1.3539607622275867,843649.111088,843682.020228,4.56146201118927,9761.0,0.5137679115155754
12022274.09855548,0.03646184453850599,27.876557951518546,2192.0,1.3593593157766866,1076583.442728,1076583.442728,5.452069581321432,12603.0,0.795043331973807
